Job arriving time,# of container,Job elapsed time,Job type
59197,6,304,0
59653,6,,2
60005,2,43,0
60509,9,,2
60509,10,61,1
60536,9,617,1
60536,1,43,1
60611,3,42,1
60611,5,40,1
60667,4,46,1
60927,10,364,1
60987,6,,2
61287,6,130,1
61413,9,,2
61709,4,,2
61794,5,175,1
61980,6,131,1
62007,9,32,0
62061,9,342,1
62159,2,1626,1
63849,10,165,1
64010,7,,2
65026,8,39,0
65091,1,,2
65149,2,35,1
65241,2,,2
66303,9,509,1
66632,7,32,1
66821,9,140,1
66821,10,115,1
66848,9,,2
66848,7,111,1
67016,6,182,1
67016,8,759,1
67416,8,,2
67416,3,124,1
67428,2,101,1
67528,5,,2
67588,5,37,1
67684,6,36,1
67964,5,35,0
68132,4,40,0
68156,6,623,1
68297,3,45,1
68297,7,44,1
68369,8,36,0
68954,9,43,1
70314,20,775,1
70377,9,1463,0
70873,8,40,0
71293,5,1376,0
71476,3,28,1
71621,5,27,1
72170,9,145,0
72586,8,,2
73601,7,39,1
73601,7,685,0
74621,10,48,1
74762,3,597,1
75782,10,,2
76138,4,,2
76574,4,,2
76710,8,66,0
76726,8,32,1
76757,1,,2
76757,9,45,1
76757,10,34,0
77072,7,,2
77136,4,36,1
77160,8,45,1
77643,7,34,1
77769,9,31,1
78089,8,31,0
78309,10,,2
79071,3,35,0
79260,9,,2
79284,4,,2
79290,2,,2
79317,9,161,0
79335,6,166,1
79479,4,37,1
80231,4,528,1
80302,1,,2
80689,3,,2
80737,8,,2
80917,6,447,0
81729,7,31,1
82065,4,747,1
82081,1,234,1
82141,4,34,0
82449,4,146,1
82683,9,44,0
82843,16,3360,1
82843,4,673,0
82943,2,35,0
83383,8,189,1
83443,10,,2
83590,7,37,1
83602,2,32,1
83628,1,,2
84720,28,1839,0
85056,7,126,1
85276,10,40,1
85396,4,248,1
85406,2,36,0
85700,6,54,1
85749,1,45,1
85787,1,,2
85817,1,37,1
86585,6,,2
87275,5,40,0
88193,9,241,1
88229,6,123,1
88621,4,,2
89433,7,168,0
89513,10,,2
89633,4,548,0
89654,7,63,1
89660,2,41,1
89685,1,345,1
89787,6,,2
89787,3,,2
89787,3,53,1
89805,1,36,1
90053,8,664,1
90078,5,170,1
90078,1,171,0
90358,8,41,0
90410,4,686,1
90410,10,49,1
90410,6,68,0
91082,6,118,1
91082,1,55,1
91109,9,,2
91115,2,117,0
91363,8,25,1
91426,1,,2
91834,8,595,0
92140,3,38,1
92181,1,49,1
92721,10,,2
92769,8,38,1
92839,7,,2
92909,7,41,1
93053,6,39,1
94638,5,,2
94638,7,86,0
94656,6,87,1
94656,8,81,1
94916,10,30,1
94956,1,734,1
94956,9,448,1
94956,2,32,1
94956,9,215,0
96018,9,33,0
96319,7,35,1
96395,4,299,1
96557,9,45,1
96564,7,667,1
96564,2,387,1
96576,2,385,1
96576,16,379,1
97694,26,602,0
97758,4,36,0
97798,10,42,1
98854,8,,2
98943,1,218,0
99963,20,,2
100107,3,,2
101437,5,28,1
101645,4,36,0
101757,7,,2
101757,4,46,1
101931,3,32,0
102211,7,185,0
102235,4,,2
102511,6,82,1
102589,6,38,1
102849,4,493,1
103137,9,36,1
103347,7,,2
103347,7,249,1
103365,3,242,1
103629,6,624,1
103629,9,1473,0
104025,4,,2
104064,1,39,1
104118,6,917,1
104118,31,448,1
104118,6,47,0
104153,5,234,1
104321,4,524,1
104321,6,200,1
104321,7,45,1
104321,5,38,1
104771,9,,2
104771,9,839,1
104797,2,49,1
105076,9,40,0
105376,6,,2
105449,1,174,1
105449,4,127,0
105500,3,43,0
105854,6,,2
105854,6,1334,1
106124,3,115,1
106124,5,557,0
106124,1,225,0
106142,6,,2
106142,5,113,1
106157,5,37,1
106267,10,,2
106355,4,,2
106575,11,89,0
106596,7,,2
106596,5,,2
106596,7,807,1
106596,1,372,0
108466,10,,2
108472,2,878,0
108493,7,,2
108493,9,36,1
109132,9,,2
109627,5,31,1
109835,8,74,1
110115,5,51,1
110130,5,37,1
110350,4,,2
110362,2,225,1
110362,6,216,1
110406,1,118,1
110430,8,36,1
110448,6,,2
110448,9,,2
110598,6,30,0
110652,3,,2
110652,6,137,1
110868,6,579,1
110916,8,45,1
110934,3,42,1
110934,3,632,0
110964,5,529,0
110975,1,35,1
111010,1,,2
111010,7,170,1
111010,1,129,1
111010,3,60,1
111496,9,,2
111496,5,80,1
111496,10,42,0
111846,10,44,1
112026,10,,2
112419,3,37,1
112497,6,36,1
113507,10,106,1
113507,9,417,0
113528,3,104,1
113808,8,449,0
113832,4,,2
113862,10,433,1
113906,1,319,1
114104,6,34,1
114456,4,,2
114456,6,307,1
114496,5,,2
114496,2,335,1
114552,7,,2
114552,30,,2
114552,31,270,1
114915,33,281,1
115383,9,255,0
115467,14,141,1
115467,11,235,0
115607,4,3027,0
115622,5,2501,1
116102,5,286,1
116102,2,139,1
116438,42,275,1
116582,4,31,1
117016,7,126,1
117016,4,64,0
117016,7,32,0
117118,2,,2
117126,8,97,1
117126,9,187,0
117456,2,35,1
117516,3,54,0
117558,7,,2
117558,6,125,1
117593,7,,2
117593,10,189,1
117593,10,165,1
117614,7,,2
117614,9,50,0
117614,4,32,0
117617,1,378,0
117869,6,36,1
117869,1,37,0
117878,3,,2
117878,10,44,0
117878,6,38,0
118168,10,44,1
118168,9,33,0
118190,2,37,1
118278,8,83,1
118290,2,81,0
118334,2,43,0
118463,1,,2
118463,9,112,1
118469,1,,2
118529,5,,2
118539,1,82,0
118569,10,,2
118811,2,,2
118871,10,,2
118871,10,,2
119699,9,,2
119699,1,,2
119797,2,,2
119797,10,141,1
119797,8,54,1
119950,3,179,1
120169,3,,2
120785,8,,2
120785,4,,2
120785,3,89,1
120785,9,24,1
121259,3,89,1
121259,2,83,1
121259,9,76,1
121616,7,510,1
121652,6,,2
121682,10,,2
121864,7,65,1
121962,2,275,1
121985,1,117,1
122219,9,,2
122423,3,,2
122607,8,246,0
122643,6,38,0
123051,8,,2
123107,7,,2
123107,7,192,1
123107,13,98,1
123275,4,165,1
123275,10,76,0
123287,2,75,1
123337,5,46,0
123465,4,,2
123465,10,1010,1
123465,5,33,1
123630,3,36,0
123794,4,,2
123899,5,36,1
124139,6,38,0
124167,2,37,1
124267,4,,2
124267,3,,2
124267,2,128,1
124267,9,81,1
124267,10,913,0
124267,3,26,0
124627,40,,2
124627,5,114,1
124627,6,79,1
124627,3,78,0
125032,9,,2
125050,6,36,0
125065,5,75,1
125770,5,,2
125820,1,38,1
126320,5,,2
126516,7,91,1
126516,6,108,0
126534,9,,2
126534,9,89,1
126558,2,56,1
126558,9,37,0
126658,10,31,1
126919,3,,2
126919,1,,2
126919,1,298,1
126919,6,288,1
127409,10,268,0
127850,9,130,1
