Job arriving time,# of container,Job elapsed time,Job type
9632,1,61,1
9635,1,617,1
9635,1,43,1
9660,1,42,1
9660,1,40,1
9674,1,46,1
9700,1,364,1
9710,1,,2
9760,1,130,1
9774,1,,2
9848,1,,2
9865,1,175,1
9896,1,131,1
9899,1,32,0
9905,1,342,1
9954,1,1626,1
10123,1,165,1
10146,1,,2
10273,1,39,0
10338,1,,2
10367,1,35,1
10413,1,,2
10531,1,509,1
10578,1,32,1
10599,1,140,1
10599,1,115,1
10602,1,,2
10602,1,111,1
10630,1,182,1
10630,1,759,1
10680,1,,2
10680,1,124,1
10686,2,101,1
10706,1,,2
10718,1,37,1
10734,1,36,1
10790,1,35,0
10832,1,40,0
10836,1,623,1
10883,1,45,1
10883,1,44,1
10892,1,36,0
10957,1,43,1
11025,20,775,1
11032,1,1463,0
11094,1,40,0
11178,1,1376,0
11239,1,28,1
11268,1,27,1
11329,1,145,0
11381,1,,2
11526,1,39,1
11526,1,685,0
11628,1,48,1
11675,1,597,1
11777,1,,2
11866,1,,2
11975,1,,2
11992,1,66,0
11994,1,32,1
12025,1,,2
12025,1,45,1
12025,1,34,0
12070,1,,2
12086,1,36,1
12089,1,45,1
12158,1,34,1
12172,1,31,1
12212,1,31,0
12234,1,,2
12488,1,35,0
12509,1,,2
12515,1,,2
12518,1,,2
12521,1,161,0
12524,1,166,1
12560,1,37,1
12748,1,528,1
12819,1,,2
12948,1,,2
12954,1,,2
12984,1,447,0
13100,1,31,1
13184,1,747,1
13200,1,234,1
13215,1,34,0
13292,1,146,1
13318,1,44,0
13328,16,3360,1
13328,1,673,0
13378,1,35,0
13433,1,189,1
13439,10,,2
13460,1,37,1
13466,1,32,1
13492,1,,2
13531,28,1839,0
13579,1,126,1
13601,1,40,1
13631,1,248,1
13636,1,36,0
13685,1,54,1
13734,1,45,1
13772,1,,2
13802,1,37,1
13930,1,,2
14068,1,40,0
14170,1,241,1
14176,1,123,1
14274,1,,2
14390,1,168,0
14398,10,,2
14428,1,548,0
14431,1,63,1
14434,1,41,1
14459,1,345,1
14476,1,,2
14476,1,,2
14476,1,53,1
14494,1,36,1
14525,1,664,1
14530,1,170,1
14530,1,171,0
14565,1,41,0
14578,1,686,1
14578,1,49,1
14578,1,68,0
14690,1,118,1
14690,1,55,1
14693,1,,2
14696,2,117,0
14727,1,25,1
14790,1,,2
14841,1,595,0
14943,1,38,1
14984,1,49,1
15038,1,,2
15044,1,38,1
15054,1,,2
15064,1,41,1
15088,1,39,1
15405,1,,2
15405,1,86,0
15408,1,87,1
15408,1,81,1
15434,1,30,1
15474,1,734,1
15474,1,448,1
15474,1,32,1
15474,1,215,0
15592,1,33,0
15635,1,35,1
15654,1,299,1
15672,1,45,1
15673,1,667,1
15673,1,387,1
15679,2,385,1
15679,16,379,1
15722,26,602,0
15738,1,36,0
15742,1,42,1
15874,1,,2
15963,1,218,0
16014,20,,2
16062,1,,2
16328,1,28,1
16380,1,36,0
16396,1,,2
16396,1,46,1
16454,1,32,0
16494,1,185,0
16500,1,,2
16546,1,82,1
16559,1,38,1
16624,1,493,1
16656,1,36,1
16686,1,,2
16686,1,249,1
16692,3,242,1
16736,1,624,1
16736,1,1473,0
16835,1,,2
16874,1,39,1
16883,1,917,1
16883,31,448,1
16883,1,47,0
16890,1,234,1
16932,1,524,1
16932,1,200,1
16932,1,45,1
16932,1,38,1
16982,1,,2
16982,1,839,1
16995,1,49,1
17026,1,40,0
17076,1,,2
17149,1,174,1
17149,1,127,0
17166,1,43,0
17225,1,,2
17225,1,1334,1
17315,1,115,1
17315,1,557,0
17315,1,225,0
17318,1,,2
17318,1,113,1
17321,1,37,1
17332,1,,2
17354,1,,2
17374,11,89,0
17377,1,,2
17377,1,,2
17377,1,807,1
17377,1,372,0
17564,1,,2
17567,1,878,0
17570,1,,2
17570,1,36,1
17641,1,,2
17740,1,31,1
17766,1,74,1
17822,1,51,1
17825,1,37,1
17880,1,,2
17886,2,225,1
17886,6,216,1
17930,1,118,1
17933,1,36,1
17936,1,,2
17936,1,,2
17961,1,30,0
17979,1,,2
17979,1,137,1
18015,1,579,1
18021,1,45,1
18027,1,42,1
18027,1,632,0
18033,5,529,0
18044,1,35,1
18079,1,,2
18079,7,170,1
18079,1,129,1
18079,1,60,1
18133,1,,2
18133,1,80,1
18133,1,42,0
18168,1,44,1
18186,1,,2
18317,1,37,1
18330,1,36,1
18431,1,106,1
18431,1,417,0
18438,3,104,1
18473,1,449,0
18479,1,,2
18482,1,433,1
18526,1,319,1
18559,1,34,1
18647,1,,2
18647,1,307,1
18655,1,,2
18655,2,335,1
18663,1,,2
18663,30,,2
18663,31,270,1
18674,33,281,1
18726,1,255,0
18732,14,141,1
18732,11,235,0
18767,1,3027,0
18770,1,2501,1
18866,1,286,1
18866,1,139,1
18874,42,275,1
18910,1,31,1
18972,1,126,1
18972,1,64,0
18972,1,32,0
19023,1,,2
19024,1,97,1
19024,1,187,0
19189,1,35,1
19209,1,54,0
19215,1,,2
19215,1,125,1
19220,1,,2
19220,1,189,1
19220,1,165,1
19223,1,,2
19223,1,50,0
19223,1,32,0
19226,1,378,0
19268,1,36,1
19268,1,37,0
19271,1,,2
19271,1,44,0
19271,1,38,0
19300,1,44,1
19300,1,33,0
19311,1,37,1
19322,1,83,1
19328,2,81,0
19350,1,43,0
19479,1,,2
19479,1,112,1
19485,1,,2
19497,1,,2
19507,1,82,0
19510,1,,2
19631,1,,2
19637,10,,2
19637,10,,2
19729,1,,2
19729,1,,2
19778,1,,2
19778,1,141,1
19778,1,54,1
19829,1,179,1
19902,1,,2
19979,1,,2
19979,1,,2
19979,1,89,1
19979,1,24,1
20137,3,89,1
20137,2,83,1
20137,9,76,1
20188,1,510,1
20194,1,,2
20197,1,,2
20223,1,65,1
20272,1,275,1
20295,1,117,1
20321,1,,2
20389,1,,2
20412,1,246,0
20418,1,38,0
20469,1,,2
20477,1,,2
20477,7,192,1
20477,13,98,1
20519,1,165,1
20519,1,76,0
20525,2,75,1
20535,1,46,0
20567,1,,2
20567,1,1010,1
20567,1,33,1
20622,1,36,0
20663,1,,2
20684,1,36,1
20724,1,38,0
20738,1,37,1
20763,1,,2
20763,1,,2
20763,1,128,1
20763,1,81,1
20763,1,913,0
20763,1,26,0
20772,40,,2
20772,5,114,1
20772,1,79,1
20772,3,78,0
20817,1,,2
20820,1,36,0
20823,1,75,1
20964,1,,2
21014,1,38,1
21114,1,,2
21142,1,91,1
21142,1,108,0
21144,1,,2
21144,1,89,1
21156,1,56,1
21156,1,37,0
21166,1,31,1
21253,1,,2
21253,1,,2
21253,1,298,1
21253,1,288,1
21302,1,268,0
21351,1,130,1
21399,1,,2
21447,1,212,0
21450,1,35,1
21495,10,,2
21495,1,,2
21495,5,197,1
21501,1,81,0
21544,1,,2
21544,1,223,1
21597,13,67,1
21601,1,,2
21602,1,34,1
21624,1,64,1
21652,1,,2
21652,1,,2
21652,1,81,1
21652,1,50,1
21652,1,42,1
21658,39,77,1
21703,1,53,0
21712,1,40,0
21753,1,,2
21756,1,,2
21756,1,,2
21756,1,1219,1
21756,1,1130,1
21756,1,1576,0
21756,1,1555,0
21756,1,967,0
21806,1,,2
21806,1,134,1
21806,1,63,1
21839,1,,2
21862,1,,2
21862,1,,2
21869,1,,2
21961,1,74,1
21968,1,73,1
22010,1,764,0
22015,20,,2
22015,32,545,0
22058,1,,2
22058,1,313,1
22058,1,40,1
22058,1,434,0
22064,1,,2
22064,1,,2
22064,5,298,1
22064,2,76,1
22113,1,39,1
22114,1,,2
22114,1,,2
22120,4,195,1
22124,1,26,1
